"Call Tree","Time (ms)","Level"
"<12 calls> NativeMethodAccessorImpl.java (native) org.wso2.carbon.identity.application.authenticator.totp.services.TOTPAdminService.initTOTP(String, AuthenticationContext)","1953","21"
"TOTPAdminService.java:60 org.wso2.carbon.identity.application.authenticator.totp.TOTPKeyGenerator.generateClaims(String, boolean, AuthenticationContext)","1229","22"
"TOTPKeyGenerator.java:65 org.wso2.carbon.user.core.common.AbstractUserStoreManager.getUserClaimValues(String, String[], String)","1025","23"
"AbstractUserStoreManager.java:1769 org.wso2.carbon.user.core.common.AbstractUserStoreManager.callSecure(String, Object[], Class[])","1025","24"
"AbstractUserStoreManager.java:194 java.security.AccessController.doPrivileged(PrivilegedExceptionAction)","1025","25"
"AccessController.java (native) org.wso2.carbon.user.core.common.AbstractUserStoreManager$2.run()","1025","26"
"AbstractUserStoreManager.java:197 <...> java.lang.reflect.Method.invoke(Object, Object[])","1025","27"
"<3 calls> NativeMethodAccessorImpl.java (native) org.wso2.carbon.user.core.common.AbstractUserStoreManager.getUserClaimValues(String, String[], String)","1025","28"
"AbstractUserStoreManager.java:1775 org.wso2.carbon.user.core.common.AbstractUserStoreManager.getUserClaimValues(String, String[], String)","1025","29"
"AbstractUserStoreManager.java:1787 org.wso2.carbon.user.core.jdbc.JDBCUserStoreManager.doCheckExistingUser(String)","989","30"
"JDBCUserStoreManager.java:1268 org.wso2.carbon.user.core.jdbc.JDBCUserStoreManager.isValueExisting(String, Connection, Object[])","989","31"
"JDBCUserStoreManager.java:1217 org.wso2.carbon.user.core.jdbc.JDBCUserStoreManager.getDBConnection()","858","32"
"JDBCUserStoreManager.java:1194 <...> org.apache.tomcat.jdbc.pool.DataSourceProxy.getConnection()","858","33"
"JDBCUserStoreManager.java:1220 org.wso2.carbon.user.core.util.DatabaseUtil.getIntegerValueFromDatabase(Connection, String, Object[])","131","32"
"DatabaseUtil.java:826 <...> com.sun.proxy.$Proxy53.prepareStatement(String)","78","33"
"[SQL] SELECT UM_ID FROM UM_USER WHERE UM_USER_NAME=? AND UM_TENANT_ID=?","78","34"
"DatabaseUtil.java:839 <...> com.sun.proxy.$Proxy54.executeQuery()","32","33"
"[SQL] SELECT UM_ID FROM UM_USER WHERE UM_USER_NAME=? AND UM_TENANT_ID=?","32","34"
"DatabaseUtil.java:833 <...> com.sun.proxy.$Proxy54.setString(int, String)","20","33"
"AbstractUserStoreManager.java:1823 org.wso2.carbon.identity.mgt.listener.IdentityUserIdResolverListener.doPostGetUserClaimValues(String, String[], String, Map, UserStoreManager)","20","30"
"IdentityUserIdResolverListener.java:878 org.wso2.carbon.user.core.common.AbstractUserStoreManager.getUserIDFromUserName(String)","20","31"
"AbstractUserStoreManager.java:11855 org.wso2.carbon.user.core.common.AbstractUserStoreManager.doGetUserClaimValues(String, String[], String, String)","20","32"
"AbstractUserStoreManager.java:7417 org.wso2.carbon.user.core.jdbc.JDBCUserStoreManager.getUserPropertyValues(String, String[], String)","20","33"
"JDBCUserStoreManager.java:1039 org.wso2.carbon.user.core.jdbc.JDBCUserStoreManager.getDBConnection()","20","34"
"JDBCUserStoreManager.java:1196 <...> com.sun.proxy.$Proxy53.getTransactionIsolation()","20","35"
"AbstractUserStoreManager.java:1823 org.wso2.carbon.identity.governance.listener.IdentityStoreEventListener.doPostGetUserClaimValues(String, String[], String, Map, UserStoreManager)","16","30"
"IdentityStoreEventListener.java:248 org.wso2.carbon.identity.governance.store.JDBCIdentityDataStore.load(String, UserStoreManager)","16","31"
"JDBCIdentityDataStore.java:195 org.wso2.carbon.identity.governance.store.InMemoryIdentityDataStore.load(String, UserStoreManager)","16","32"
"InMemoryIdentityDataStore.java:125 org.wso2.carbon.identity.governance.store.InMemoryIdentityDataStore.getCache()","16","33"
"InMemoryIdentityDataStore.java:48 <...> java.lang.ClassLoader.loadClass(String)","16","34"
"TOTPKeyGenerator.java:60 <...> java.lang.ClassLoader.loadClass(String)","64","23"
"TOTPKeyGenerator.java:75 org.wso2.carbon.identity.application.authenticator.totp.util.TOTPUtil.decrypt(String)","52","23"
"TOTPUtil.java:92 org.wso2.carbon.core.util.CryptoUtil.base64DecodeAndDecrypt(String)","40","24"
"CryptoUtil.java:329 org.wso2.carbon.core.util.CryptoUtil.decrypt(byte[])","40","25"
"CryptoUtil.java:259 org.wso2.carbon.crypto.impl.DefaultCryptoService.decrypt(byte[], String, String)","40","26"
"DefaultCryptoService.java:132 org.wso2.carbon.crypto.provider.KeyStoreBasedInternalCryptoProvider.decrypt(byte[], String, String)","40","27"
"KeyStoreBasedInternalCryptoProvider.java:137 javax.crypto.Cipher.doFinal(byte[])","20","28"
"Cipher.java:2168 org.bouncycastle.jcajce.provider.asymmetric.rsa.CipherSpi.engineDoFinal(byte[], int, int)","20","29"
"org.bouncycastle.jcajce.provider.asymmetric.rsa.CipherSpi.getOutput()","20","30"
"org.bouncycastle.crypto.encodings.OAEPEncoding.processBlock(byte[], int, int)","20","31"
"org.bouncycastle.crypto.encodings.OAEPEncoding.decodeBlock(byte[], int, int)","20","32"
"org.bouncycastle.crypto.engines.RSABlindedEngine.processBlock(byte[], int, int)","20","33"
"org.bouncycastle.crypto.engines.RSACoreEngine.processBlock(BigInteger)","20","34"
"<...> java.math.BigInteger.modPow(BigInteger, BigInteger)","20","35"
"KeyStoreBasedInternalCryptoProvider.java:127 <...> javax.crypto.Cipher.getInstance(String, String)","20","28"
"<6 calls> NativeConstructorAccessorImpl.java (native) org.bouncycastle.jcajce.provider.asymmetric.rsa.CipherSpi$NoPadding.<init>()","20","29"
"org.bouncycastle.jcajce.provider.asymmetric.rsa.CipherSpi.<init>(AsymmetricBlockCipher)","20","30"
"org.bouncycastle.jcajce.provider.asymmetric.util.BaseCipherSpi.<init>()","20","31"
"org.bouncycastle.jcajce.util.BCJcaJceHelper.<init>()","20","32"
"org.bouncycastle.jcajce.util.BCJcaJceHelper.getBouncyCastleProvider()","20","33"
"<...> java.security.Security.getProvider(String)","20","34"
"TOTPUtil.java:92 <...> java.lang.ClassLoader.loadClass(String)","12","24"
"TOTPKeyGenerator.java:86 <...> java.lang.ClassLoader.loadClass(String)","40","23"
"TOTPKeyGenerator.java:69 <...> java.lang.ClassLoader.loadClass(String)","24","23"
"TOTPKeyGenerator.java:60","24","23"
"TOTPAdminService.java:61 org.wso2.carbon.identity.application.authenticator.totp.TOTPKeyGenerator.addTOTPClaimsAndRetrievingQRCodeURL(Map, String, AuthenticationContext)","708","22"
"TOTPKeyGenerator.java:134 org.wso2.carbon.user.core.common.AbstractUserStoreManager.setUserClaimValues(String, Map, String)","708","23"
"AbstractUserStoreManager.java:3978 org.wso2.carbon.user.core.common.AbstractUserStoreManager.setUserClaimValues(String, Map, String)","708","24"
"AbstractUserStoreManager.java:4057 org.wso2.carbon.identity.entitlement.listener.CacheClearingUserOperationListener.doPostSetUserClaimValues(String, Map, String, UserStoreManager)","212","25"
"CacheClearingUserOperationListener.java:125 org.wso2.carbon.identity.entitlement.listener.CacheClearingUserOperationListener.clearCarbonAttributeCache()","212","26"
"CacheClearingUserOperationListener.java:303 org.wso2.carbon.identity.entitlement.pdp.EntitlementEngine.getInstance()","172","27"
"EntitlementEngine.java:127 org.wso2.carbon.identity.entitlement.pdp.EntitlementEngine.<init>(int)","172","28"
"EntitlementEngine.java:207 org.wso2.carbon.identity.entitlement.pdp.EntitlementEngine.setUPPolicyFinder()","60","29"
"EntitlementEngine.java:680 org.wso2.balana.finder.PolicyFinder.init()","60","30"
"PolicyFinder.java:149 org.wso2.carbon.identity.entitlement.policy.finder.CarbonPolicyFinder.init(PolicyFinder)","60","31"
"CarbonPolicyFinder.java:87 org.wso2.carbon.identity.entitlement.policy.finder.CarbonPolicyFinder.init()","60","32"
"CarbonPolicyFinder.java:137 <...> java.lang.ClassLoader.loadClass(String)","20","33"
"CarbonPolicyFinder.java:174 org.ops4j.pax.logging.jcl.JclLogger.info(Object)","20","33"
"CarbonPolicyFinder.java:156 org.wso2.carbon.identity.entitlement.policy.store.DefaultPolicyDataStore.getGlobalPolicyAlgorithm()","20","33"
"DefaultPolicyDataStore.java:65 org.wso2.carbon.registry.core.session.UserRegistry.resourceExists(String)","20","34"
"UserRegistry.java:766 java.security.AccessController.doPrivileged(PrivilegedExceptionAction)","20","35"
"AccessController.java (native) org.wso2.carbon.registry.core.session.UserRegistry$9.run()","20","36"
"UserRegistry.java:766 org.wso2.carbon.registry.core.session.UserRegistry$9.run()","20","37"
"UserRegistry.java:769 org.wso2.carbon.registry.core.session.UserRegistry.access$800(UserRegistry, String)","20","38"
"UserRegistry.java:73 org.wso2.carbon.registry.core.session.UserRegistry.resourceExistsInternal(String)","20","39"
"UserRegistry.java:786 org.wso2.carbon.registry.core.caching.CacheBackedRegistry.resourceExists(String)","20","40"
"CacheBackedRegistry.java:376 org.wso2.carbon.registry.core.jdbc.EmbeddedRegistry.resourceExists(String)","20","41"
"EmbeddedRegistry.java:639 org.wso2.carbon.registry.core.jdbc.EmbeddedRegistry.beginTransaction()","20","42"
"EmbeddedRegistry.java:443 org.wso2.carbon.registry.core.jdbc.dataaccess.JDBCTransactionManager.beginTransaction()","20","43"
"JDBCTransactionManager.java:83 <...> org.apache.tomcat.jdbc.pool.DataSourceProxy.getConnection()","20","44"
"<3 calls> ConnectionState.java:90 org.h2.jdbc.JdbcConnection.setAutoCommit(boolean)","20","45"
"JdbcConnection.java:503 org.h2.jdbc.JdbcConnection.commit()","20","46"
"JdbcConnection.java:542 org.h2.command.Command.executeUpdate(Object)","20","47"
"Command.java:249","20","48"
"EntitlementEngine.java:244 org.wso2.carbon.identity.entitlement.policy.search.PolicySearch.<init>(boolean, int)","28","29"
"PolicySearch.java:75 <...> java.lang.ClassLoader.loadClass(String)","28","30"
"EntitlementEngine.java:205 org.wso2.carbon.identity.entitlement.pdp.EntitlementEngine.setUpAttributeFinders()","24","29"
"EntitlementEngine.java:630 org.wso2.carbon.identity.entitlement.pip.CarbonAttributeFinder.init()","24","30"
"CarbonAttributeFinder.java:91 <...> java.lang.ClassLoader.loadClass(String)","24","31"
"EntitlementEngine.java:263 org.wso2.balana.PDP.<init>(PDPConfig)","20","29"
"PDP.java:97 org.wso2.balana.finder.PolicyFinder.init()","20","30"
"PolicyFinder.java:149 org.wso2.carbon.identity.entitlement.pap.store.PAPPolicyFinder.init(PolicyFinder)","20","31"
"PAPPolicyFinder.java:105 <...> java.lang.ClassLoader.loadClass(String)","20","32"
"EntitlementEngine.java:276 org.wso2.balana.PDP.<init>(PDPConfig)","20","29"
"PDP.java:97 org.wso2.balana.finder.PolicyFinder.init()","20","30"
"PolicyFinder.java:149 org.wso2.carbon.identity.entitlement.policy.finder.CarbonPolicyFinder.init(PolicyFinder)","20","31"
"CarbonPolicyFinder.java:87 org.wso2.carbon.identity.entitlement.policy.finder.CarbonPolicyFinder.init()","20","32"
"CarbonPolicyFinder.java:162 org.wso2.carbon.identity.entitlement.policy.store.RegistryPolicyStoreManageModule.getActivePolicies()","20","33"
"RegistryPolicyStoreManageModule.java:226 org.wso2.carbon.identity.entitlement.policy.finder.registry.RegistryPolicyReader.readAllPolicies(boolean, boolean)","20","34"
"EntitlementEngine.java:206 org.wso2.carbon.identity.entitlement.pdp.EntitlementEngine.setUpResourceFinders()","20","29"
"EntitlementEngine.java:655 <...> java.lang.ClassLoader.loadClass(String)","20","30"
"CacheClearingUserOperationListener.java:303 <...> java.lang.ClassLoader.loadClass(String)","20","27"
"CacheClearingUserOperationListener.java:303","20","27"
"AbstractUserStoreManager.java:4012 org.wso2.carbon.identity.mgt.listener.IdentityUserIdResolverListener.doPreSetUserClaimValues(String, Map, String, UserStoreManager)","200","25"
"IdentityUserIdResolverListener.java:391 org.wso2.carbon.identity.scim2.common.listener.SCIMUserOperationListener.doPreSetUserClaimValuesWithID(String, Map, String, UserStoreManager)","200","26"
"SCIMUserOperationListener.java:161 org.wso2.charon3.core.utils.AttributeUtil.formatDateTime(Instant)","96","27"
"AttributeUtil.java:152 <...> java.time.Instant.toString()","96","28"
"SCIMUserOperationListener.java:162 org.wso2.carbon.identity.scim2.common.utils.SCIMCommonUtils.getSCIMtoLocalMappings()","64","27"
"SCIMCommonUtils.java:270 <...> java.lang.ClassLoader.loadClass(String)","24","28"
"SCIMCommonUtils.java:285 <...> java.lang.ClassLoader.loadClass(String)","20","28"
"SCIMCommonUtils.java:265 org.wso2.carbon.identity.scim2.common.utils.SCIMCommonUtils.getTenantDomainFromSP()","20","28"
"SCIMCommonUtils.java:304 <...> java.lang.ClassLoader.loadClass(String)","20","29"
"SCIMUserOperationListener.java:161 <...> java.lang.ClassLoader.loadClass(String)","40","27"
"AbstractUserStoreManager.java:4012 org.wso2.carbon.identity.provisioning.listener.DefaultInboundUserProvisioningListener.doPreSetUserClaimValues(String, Map, String, UserStoreManager)","140","25"
"DefaultInboundUserProvisioningListener.java:207 org.wso2.carbon.identity.provisioning.OutboundProvisioningManager.provision(ProvisioningEntity, String, String, String, boolean)","120","26"
"OutboundProvisioningManager.java:391 org.wso2.carbon.identity.application.mgt.ApplicationManagementServiceImpl.getServiceProvider(String, String)","120","27"
"ApplicationManagementServiceImpl.java:1009 org.wso2.carbon.identity.application.mgt.dao.impl.CacheBackedApplicationDAO.getApplication(String, String)","120","28"
"CacheBackedApplicationDAO.java:88 org.wso2.carbon.identity.application.mgt.dao.impl.ApplicationDAOImpl.getApplication(String, String)","120","29"
"ApplicationDAOImpl.java:1785 org.wso2.carbon.identity.application.mgt.dao.impl.ApplicationDAOImpl.getApplication(int)","120","30"
"ApplicationDAOImpl.java:2137 org.wso2.carbon.identity.application.mgt.dao.impl.ApplicationDAOImpl.loadApplicationPermissions(String, ServiceProvider)","100","31"
"ApplicationDAOImpl.java:4452 org.wso2.carbon.identity.application.mgt.ApplicationMgtUtil.loadPermissions(String)","100","32"
"ApplicationMgtUtil.java:487 org.wso2.carbon.registry.core.session.UserRegistry.resourceExists(String)","100","33"
"UserRegistry.java:766 java.security.AccessController.doPrivileged(PrivilegedExceptionAction)","100","34"
"AccessController.java (native) org.wso2.carbon.registry.core.session.UserRegistry$9.run()","100","35"
"UserRegistry.java:766 org.wso2.carbon.registry.core.session.UserRegistry$9.run()","100","36"
"UserRegistry.java:769 org.wso2.carbon.registry.core.session.UserRegistry.access$800(UserRegistry, String)","100","37"
"UserRegistry.java:73 org.wso2.carbon.registry.core.session.UserRegistry.resourceExistsInternal(String)","100","38"
"UserRegistry.java:786 org.wso2.carbon.registry.core.caching.CacheBackedRegistry.resourceExists(String)","100","39"
"CacheBackedRegistry.java:376 org.wso2.carbon.registry.core.jdbc.EmbeddedRegistry.resourceExists(String)","100","40"
"EmbeddedRegistry.java:645 org.wso2.carbon.registry.core.jdbc.handlers.HandlerLifecycleManager.resourceExists(RequestContext)","60","41"
"EmbeddedRegistry.java:639 org.wso2.carbon.registry.core.jdbc.EmbeddedRegistry.beginTransaction()","40","41"
"ApplicationDAOImpl.java:2099 org.wso2.carbon.identity.application.mgt.dao.impl.ApplicationDAOImpl.getLocalAndOutboundAuthenticationConfig(int, Connection, int, List)","20","31"
"ApplicationDAOImpl.java:2745 org.wso2.carbon.identity.application.mgt.dao.impl.ApplicationDAOImpl.getAuthenticationType(int, Connection)","20","32"
"ApplicationDAOImpl.java:2261 <...> com.sun.proxy.$Proxy53.prepareStatement(String)","20","33"
"<16 calls> org.h2.jdbc.JdbcConnection.prepareStatement(String)","20","34"
"JdbcConnection.java:349 org.h2.jdbc.JdbcPreparedStatement.<init>(JdbcConnection, String, int, int, int, boolean, Object)","20","35"
"JdbcPreparedStatement.java:77 org.h2.jdbc.JdbcConnection.prepareCommand(String, int)","20","36"
"JdbcConnection.java:1292 org.h2.engine.Session.prepareCommand(String, int)","20","37"
"Session.java:565 org.h2.engine.Session.prepareLocal(String)","20","38"
"Session.java:627 org.h2.command.Parser.prepareCommand(String)","20","39"
"[SQL] SELECT AUTH_TYPE FROM SP_APP WHERE ID = ? AND TENANT_ID = ?","5","34"
"DefaultInboundUserProvisioningListener.java:206 <...> java.lang.ClassLoader.loadClass(String)","20","26"
"AbstractUserStoreManager.java:4044 org.wso2.carbon.user.core.jdbc.JDBCUserStoreManager.doSetUserClaimValues(String, Map, String)","56","25"
"JDBCUserStoreManager.java:2231 org.wso2.carbon.user.core.common.AbstractUserStoreManager.doSetUserClaimValues(String, Map, String)","56","26"
"AbstractUserStoreManager.java:670 org.wso2.carbon.user.core.jdbc.JDBCUserStoreManager.doSetUserAttributes(String, Map, String)","36","27"
"JDBCUserStoreManager.java:2250 <...> com.sun.proxy.$Proxy53.commit()","20","28"
"JDBCUserStoreManager.java:2246 org.wso2.carbon.user.core.jdbc.JDBCUserStoreManager.addProperties(Connection, String, Map, String)","16","28"
"JDBCUserStoreManager.java:3322 org.wso2.carbon.utils.dbcreator.DatabaseCreator.getDatabaseType(Connection)","16","29"
"DatabaseCreator.java:200 <...> com.sun.proxy.$Proxy53.getMetaData()","16","30"
"AbstractUserStoreManager.java:665 org.wso2.carbon.user.core.common.AbstractUserStoreManager.resolveUserStoreAttributeValueMap(String, Map)","20","27"
"AbstractUserStoreManager.java:687","20","28"
"AbstractUserStoreManager.java:4012 org.wso2.carbon.identity.oauth.listener.IdentityOathEventListener.doPreSetUserClaimValues(String, Map, String, UserStoreManager)","40","25"
"IdentityOathEventListener.java:120 org.wso2.carbon.identity.oauth.listener.IdentityOathEventListener.removeTokensFromCache(String, UserStoreManager)","40","26"
"IdentityOathEventListener.java:427 org.wso2.carbon.identity.oauth.listener.IdentityOathEventListener.removeAccessTokensFromCache(Set)","20","27"
"IdentityOathEventListener.java:449 <...> java.lang.ClassLoader.loadClass(String)","20","28"
"IdentityOathEventListener.java:424 org.wso2.carbon.identity.oauth2.dao.AccessTokenDAOImpl.getAccessTokensByUserForOpenidScope(AuthenticatedUser)","20","27"
"AccessTokenDAOImpl.java:1367 <...> com.sun.proxy.$Proxy53.prepareStatement(String)","20","28"
"<16 calls> org.h2.jdbc.JdbcConnection.prepareStatement(String)","20","29"
"JdbcConnection.java:349 org.h2.jdbc.JdbcPreparedStatement.<init>(JdbcConnection, String, int, int, int, boolean, Object)","20","30"
"JdbcPreparedStatement.java:77 org.h2.jdbc.JdbcConnection.prepareCommand(String, int)","20","31"
"JdbcConnection.java:1292 org.h2.engine.Session.prepareCommand(String, int)","20","32"
"Session.java:565 org.h2.engine.Session.prepareLocal(String)","20","33"
"Session.java:627 org.h2.command.Parser.prepareCommand(String)","20","34"
"Parser.java:689 org.h2.command.dml.Select.prepare()","20","35"
"Select.java:1266 org.h2.command.dml.Select.preparePlan(boolean)","20","36"
"Select.java:1404 org.h2.command.dml.Optimizer.optimize(boolean)","20","37"
"Optimizer.java:240 org.h2.command.dml.Optimizer.calculateBestPlan()","20","38"
"Optimizer.java:86 org.h2.command.dml.Optimizer.calculateBruteForceAll()","20","39"
"Optimizer.java:110 org.h2.command.dml.Optimizer.testPlan(TableFilter[])","20","40"
"Optimizer.java:181 org.h2.table.Plan.calculateCost(Session, AllColumnsForPlan)","20","41"
"Plan.java:120 org.h2.table.TableFilter.getBestPlanItem(Session, TableFilter[], int, AllColumnsForPlan)","20","42"
"TableFilter.java:228 org.h2.table.TableView.getBestPlanItem(Session, int[], TableFilter[], int, SortOrder, AllColumnsForPlan)","20","43"
"TableView.java:267 org.h2.index.ViewIndex.<init>(TableView, ViewIndex, Session, int[], TableFilter[], int, SortOrder)","20","44"
"ViewIndex.java:103 org.h2.index.ViewIndex.getQuery(Session, int[], TableFilter[], int, SortOrder)","20","45"
"ViewIndex.java:393 org.h2.command.dml.Select.getPlanSQL(boolean)","20","46"
"Select.java:1502 org.h2.table.TableFilter.getPlanSQL(StringBuilder, boolean, boolean)","20","47"
"TableFilter.java:859 org.h2.index.BaseIndex.getPlanSQL()","20","48"
"BaseIndex.java:110 org.h2.schema.SchemaObjectBase.getSQL(boolean)","20","49"
"[SQL] SELECT DISTINCT ACCESS_TOKEN, REFRESH_TOKEN, ACCESS_TOKEN_TABLE.TOKEN_ID, TIME_CREATED, VALIDITY_PERIOD, REFRESH_TOKEN_TIME_CREATED, REFRESH_TOKEN_VALIDITY_PERIOD, CONSUMER_KEY, GRANT_TYPE FROM (SELECT ACCESS_TOKEN, REFRESH_TOKEN, GRANT_TYPE, CONSUMER_KEY_ID, TOKEN_ID, TIME_CREATED, VALIDITY_PERIOD, REFRESH_TOKEN_TIME_CREATED, REFRESH_TOKEN_VALIDITY_PERIOD FROM IDN_OAUTH2_ACCESS_TOKEN WHERE AUTHZ_USER=? AND TENANT_ID=? AND TOKEN_STATE=? AND USER_DOMAIN=?) ACCESS_TOKEN_TABLE JOIN IDN_OAUTH_CONSUMER_APPS ON ID = CONSUMER_KEY_ID LEFT JOIN IDN_OAUTH2_ACCESS_TOKEN_SCOPE ON ACCESS_TOKEN_TABLE.TOKEN_ID = IDN_OAUTH2_ACCESS_TOKEN_SCOPE.TOKEN_ID WHERE TOKEN_SCOPE=?","5","29"
"AbstractUserStoreManager.java:4012 org.wso2.carbon.identity.governance.listener.IdentityMgtEventListener.doPreSetUserClaimValues(String, Map, String, UserStoreManager)","20","25"
"IdentityMgtEventListener.java:152 org.wso2.carbon.identity.governance.listener.IdentityMgtEventListener.handleEvent(String, UserStoreManager, String, HashMap)","20","26"
"IdentityMgtEventListener.java:1608 org.wso2.carbon.identity.governance.listener.IdentityMgtEventListener.handleEvent(String, UserStoreManager, String, String, HashMap)","20","27"
"IdentityMgtEventListener.java:1620 org.wso2.carbon.identity.governance.listener.IdentityMgtEventListener.handleEvent(String, HashMap, UserStoreManager)","20","28"
"IdentityMgtEventListener.java:1644 org.wso2.carbon.identity.event.services.IdentityEventServiceImpl.handleEvent(Event)","20","29"
"IdentityEventServiceImpl.java:56 org.wso2.carbon.identity.recovery.handler.AdminForcedPasswordResetHandler.handleEvent(Event)","20","30"
"AdminForcedPasswordResetHandler.java:58 org.wso2.carbon.identity.recovery.handler.AdminForcedPasswordResetHandler.handleClaimUpdate(Map, UserStoreManager)","20","31"
"AdminForcedPasswordResetHandler.java:78 org.wso2.carbon.identity.recovery.util.Utils.getConnectorConfig(String, String)","20","32"
"Utils.java:525 org.wso2.carbon.identity.governance.IdentityGovernanceServiceImpl.getConfiguration(String[], String)","20","33"
"IdentityGovernanceServiceImpl.java:123 org.wso2.carbon.identity.governance.IdentityGovernanceServiceImpl.getConfiguration(String)","20","34"
"IdentityGovernanceServiceImpl.java:95 org.wso2.carbon.idp.mgt.IdentityProviderManager.getResidentIdP(String)","20","35"
"IdentityProviderManager.java:369 org.wso2.carbon.identity.application.common.model.IdentityProvider.setCertificate(String)","20","36"
"IdentityProvider.java:486 org.wso2.carbon.identity.application.common.model.IdentityProvider.setCertificateInfoArray(String)","20","37"
"IdentityProvider.java:519 org.wso2.carbon.identity.application.common.model.IdentityProvider.handleEncodedCertificate(String)","20","38"
"IdentityProvider.java:579 org.wso2.carbon.identity.application.common.model.IdentityProvider.createCertificateInfoForNoBeginCertificate(String)","20","39"
"IdentityProvider.java:594","20","40"
"AbstractUserStoreManager.java:4057 org.wso2.carbon.identity.oauth.listener.IdentityOathEventListener.doPostSetUserClaimValues(String, Map, String, UserStoreManager)","20","25"
"IdentityOathEventListener.java:145 org.wso2.carbon.identity.oauth.listener.IdentityOathEventListener.removeUserClaimsFromCache(String, UserStoreManager)","20","26"
"IdentityOathEventListener.java:467 <...> java.lang.ClassLoader.loadClass(String)","20","27"
"AbstractUserStoreManager.java:3996 org.wso2.carbon.user.core.jdbc.JDBCUserStoreManager.doCheckExistingUser(String)","20","25"
"JDBCUserStoreManager.java:1268 org.wso2.carbon.user.core.jdbc.JDBCUserStoreManager.isValueExisting(String, Connection, Object[])","20","26"
"JDBCUserStoreManager.java:1220 org.wso2.carbon.user.core.util.DatabaseUtil.getIntegerValueFromDatabase(Connection, String, Object[])","20","27"
"DatabaseUtil.java:839 <...> com.sun.proxy.$Proxy54.executeQuery()","20","28"
"[SQL] SELECT UM_ID FROM UM_USER WHERE UM_USER_NAME=? AND UM_TENANT_ID=?","2","29"
"TOTPAdminService.java:60 <...> java.lang.ClassLoader.loadClass(String)","16","22"
"<7 calls> Phase.java:340 org.wso2.carbon.server.admin.module.handler.AuthenticationHandler.invoke(MessageContext)","685","21"
"AuthenticationHandler.java:66 org.wso2.carbon.server.admin.module.handler.AuthenticationHandler.authenticate(MessageContext, String)","685","22"
"AuthenticationHandler.java:105 org.wso2.carbon.server.admin.module.handler.AuthenticationHandler.isAuthenticated(MessageContext, String)","685","23"
"AuthenticationHandler.java:180 org.wso2.carbon.core.services.authentication.AbstractAuthenticator.authenticate(MessageContext)","641","24"
"AbstractAuthenticator.java:144 org.wso2.carbon.core.services.authentication.BasicAccessAuthenticator.doAuthentication(String, int, MessageContext)","433","25"
"BasicAccessAuthenticator.java:182 org.wso2.carbon.user.core.common.AbstractUserStoreManager.authenticate(String, Object)","389","26"
"AbstractUserStoreManager.java:1166 java.security.AccessController.doPrivileged(PrivilegedExceptionAction)","389","27"
"AccessController.java (native) org.wso2.carbon.user.core.common.AbstractUserStoreManager$$Lambda$620.run()","389","28"
"org.wso2.carbon.user.core.common.AbstractUserStoreManager.lambda$authenticate$0(String, Object)","389","29"
